PUBLICATION DATE,FISCAL YEAR,AGENCY CODE,AGENCY NAME,ALL FUNDS,CITY FUND,REMARK
20171130,2009,072,Department of Correction,1010200,974990,
20171130,2009,098,Miscellaneous,6169380,5167466,
20171130,2005,014,"President,Borough of S.I.",3921,3769,
20171130,2006,095,Citywide Pension Contributions,4014955,3837752,
20171130,2008,098,Miscellaneous,6034401,5119026,
20171130,2005,038,Brooklyn Public Library,70286,70286,
20171130,2004,035,NY Public Library - Research,16967,16967,
20171130,2005,094,Department of Employment,0,0,
20171130,2003,013,"President,Borough of Queens",4823,4553,
20171130,2011,003,Board of Elections,102874,101470,
20171130,2002,013,"President,Borough of Queens",6290,6042,
20171130,2004,004,Campaign Finance Board,14196,14196,
20171130,2008,095,Citywide Pension Contributions,5740554,5570853,
20171130,2010,095,Citywide Pension Contributions,6755590,6583254,
20171130,2014,099,Debt Service,5572467,5356140,
20171130,2003,010,"President,Borough of Manhattan",3862,3778,
20171130,2013,094,Department of Employment,0,0,
20171130,2008,030,Department of City Planning,24396,9433,
20171130,2012,010,"President,Borough of Manhattan",4541,4541,
20171130,2010,069,Department of Social Services,8482385,6079792,
20171130,2013,073,Board of Correction,1031,1031,
20171130,2009,063,Department of Veterans' Services,0,0,
20171130,2002,069,Department of Social Services,5972625,3760680,
20171130,2002,073,Board of Correction,906,906,
20171130,2013,002,Mayoralty,93177,60937,
20171130,2016,030,Department of City Planning,31231,16169,
20171130,2006,012,"President,Borough of Brooklyn",5436,5258,
20171130,2015,068,Admin. for Children Services,2826694,930146,
20171130,2005,040,Department of Education,13871184,5605073,
20171130,2007,071,Dept. of Homeless Services,732647,347749,
20171130,2013,063,Department of Veterans' Services,0,0,
20171130,2003,094,Department of Employment,131690,6988,
20171130,2007,032,Department of Investigation,21861,16975,
20171130,2008,021,Office of Administrative Tax Appeals,3072,3072,
20171130,2009,013,"President,Borough of Queens",4717,4717,
20171130,2015,012,"President,Borough of Brooklyn",5856,5421,
20171130,2005,068,Admin. for Children Services,2283646,621522,
20171130,2008,040,Department of Education,16977034,6997793,
20171130,2015,071,Dept. of Homeless Services,1169826,680834,
20171130,2004,011,"President,Borough of the Bronx",5079,4854,
20171130,2014,054,Civilian Complaint Review Bd.,11202,11202,
20171130,2003,098,Miscellaneous,4485430,4015170,
20171130,2012,099,Debt Service,5436851,4975817,
20171130,2008,003,Board of Elections,80676,80676,
20171130,2009,057,Fire Department,1592673,1363732,
20171130,2015,037,New York Public Library,120179,119243,
20171130,2004,014,"President,Borough of S.I.",3770,3602,
20171130,2003,057,Fire Department,1201248,1046649,
20171130,2005,012,"President,Borough of Brooklyn",5136,5053,
20171130,2015,040,Department of Education,20999365,9739990,
20171130,2008,042,City University,671292,445361,
20171130,2015,011,"President,Borough of the Bronx",5287,5172,
20171130,2006,068,Admin. for Children Services,2326494,684494,
20171130,2009,032,Department of Investigation,24208,17144,
20171130,2009,056,Police Department,4469200,4057374,
20171130,2003,032,Department of Investigation,21360,18441,
20171130,2006,042,City University,605277,394116,
20171130,2015,030,Department of City Planning,24717,9976,
20171130,2011,037,New York Public Library,110850,110653,
20171130,2006,025,Law Department,125134,116962,
20171130,2006,017,Dept. of Emergency Management,12272,4047,
20171130,2003,015,Office of the Comptroller,54970,52230,
20171130,2016,063,Department of Veterans' Services,0,0,
20171201,2017,094,Department of Employment,0,0,
20171130,2013,025,Law Department,143852,133540,
20171130,2014,003,Board of Elections,116163,115523,
20171130,2010,013,"President,Borough of Queens",4596,4588,
20171201,2017,003,Board of Elections,121618,121618,
20171201,2017,011,"President,Borough of the Bronx",4971,4953,
20171130,2005,057,Fire Department,1226513,1091062,
20171130,2003,039,Queens Borough Public Library,61571,61571,
20171130,2009,003,Board of Elections,81054,80749,
20171130,2002,038,Brooklyn Public Library,71464,71464,
20171130,2010,039,Queens Borough Public Library,84163,83940,
20171130,2012,056,Police Department,4867891,4336232,
20171130,2004,002,Mayoralty,72939,54292,
20171130,2008,004,Campaign Finance Board,6497,6497,
20171130,2003,042,City University,473180,309476,
20171130,2009,054,Civilian Complaint Review Bd.,11300,11300,
20171130,2010,012,"President,Borough of Brooklyn",5300,5190,
20171130,2006,002,Mayoralty,79102,59555,
20171130,2004,039,Queens Borough Public Library,63095,63095,
20171130,2003,017,Dept. of Emergency Management,6630,3633,
20171130,2007,030,Department of City Planning,22050,7564,
20171130,2002,035,NY Public Library - Research,18698,18698,
20171130,2013,095,Citywide Pension Contributions,8178550,8022259,
20171130,2004,008,Office of the Actuary,3594,3594,
20171130,2009,073,Board of Correction,904,904,
20171130,2015,099,Debt Service,5924555,5707430,
20171130,2010,038,Brooklyn Public Library,85504,85427,
20171130,2011,040,Department of Education,18938899,7737414,
20171130,2011,054,Civilian Complaint Review Bd.,9623,9623,
20171130,2012,008,Office of the Actuary,5547,5547,
20171130,2012,072,Department of Correction,1078789,1058821,
20171130,2008,014,"President,Borough of S.I.",4717,4679,
20171130,2016,012,"President,Borough of Brooklyn",6369,5936,
20171130,2008,032,Department of Investigation,23480,18252,
20171130,2008,099,Debt Service,4798041,4689990,
20171130,2004,099,Debt Service,3650320,3620369,
20171130,2016,025,Law Department,194351,183601,
20171130,2016,032,Department of Investigation,38368,24723,
20171130,2016,008,Office of the Actuary,6694,6694,
20171130,2012,063,Department of Veterans' Services,0,0,
20171130,2002,057,Fire Department,1266416,1058706,
20171130,2007,040,Department of Education,15884401,6779894,
20171130,2013,015,Office of the Comptroller,73220,56386,
20171130,2010,037,New York Public Library,114493,114287,
20171130,2002,094,Department of Employment,135866,10852,
20171201,2017,099,Debt Service,6047210,5826447,
20171130,2012,039,Queens Borough Public Library,84284,82519,
20171130,2014,021,Office of Administrative Tax Appeals,4162,4162,
20171130,2013,003,Board of Elections,107473,101415,
20171201,2017,073,Board of Correction,1838,1838,
20171130,2003,012,"President,Borough of Brooklyn",5083,4857,
20171201,2017,038,Brooklyn Public Library,103745,102062,
20171130,2016,010,"President,Borough of Manhattan",4661,4661,
20171130,2002,040,Department of Education,11883255,4784694,
20171130,2016,068,Admin. for Children Services,2875120,924121,
20171130,2013,012,"President,Borough of Brooklyn",5210,5086,
20171130,2012,071,Dept. of Homeless Services,900521,427209,
20171130,2007,056,Police Department,3856192,3461451,
20171201,2017,071,Dept. of Homeless Services,1823696,1093498,
20171130,2002,021,Office of Administrative Tax Appeals,1992,1992,
20171130,2009,069,Department of Social Services,8327785,6127839,
20171130,2009,021,Office of Administrative Tax Appeals,3987,3987,
20171130,2005,069,Department of Social Services,7204062,5165384,
20171201,2017,042,City University,1158487,800982,
20171130,2011,010,"President,Borough of Manhattan",4353,3612,
20171130,2008,056,Police Department,4148661,3734724,
20171130,2015,057,Fire Department,1893651,1644394,
20171130,2008,068,Admin. for Children Services,2854527,830334,
20171201,2017,030,Department of City Planning,36312,21418,
20171130,2011,073,Board of Correction,929,929,
20171130,2016,099,Debt Service,5863075,5641697,
20171130,2016,098,Miscellaneous,8721488,7184901,
20171130,2015,021,Office of Administrative Tax Appeals,4261,4261,
20171201,2017,014,"President,Borough of S.I.",4226,4226,
20171130,2005,054,Civilian Complaint Review Bd.,9776,9776,
20171130,2014,037,New York Public Library,113624,112616,
20171130,2002,017,Dept. of Emergency Management,0,0,
20171130,2003,095,Citywide Pension Contributions,1750586,1533917,
20171130,2014,010,"President,Borough of Manhattan",4070,4070,
20171130,2008,038,Brooklyn Public Library,87377,87277,
20171130,2012,017,Dept. of Emergency Management,23383,5605,
20171130,2008,069,Department of Social Services,8681886,6525557,
20171130,2007,013,"President,Borough of Queens",5529,5529,
20171130,2011,056,Police Department,4804760,4260737,
20171130,2010,054,Civilian Complaint Review Bd.,10091,10091,
20171201,2017,008,Office of the Actuary,6658,6658,
20171201,2017,032,Department of Investigation,45278,31100,
20171130,2015,004,Campaign Finance Board,10647,10647,
20171130,2014,072,Department of Correction,1103097,1088985,
20171130,2012,013,"President,Borough of Queens",4587,4587,
20171130,2009,094,Department of Employment,0,0,
20171130,2005,021,Office of Administrative Tax Appeals,2319,2319,
20171130,2016,014,"President,Borough of S.I.",4048,4048,
20171130,2004,042,City University,544671,353139,
20171130,2013,037,New York Public Library,113166,111016,
20171130,2007,037,New York Public Library,106357,106357,
20171130,2003,035,NY Public Library - Research,16633,16633,
20171130,2004,056,Police Department,3582185,3218168,
20171130,2012,021,Office of Administrative Tax Appeals,3850,3850,
20171130,2008,015,Office of the Comptroller,65762,56906,
20171130,2010,056,Police Department,4666857,4199393,
20171130,2012,014,"President,Borough of S.I.",3859,3859,
20171130,2010,017,Dept. of Emergency Management,27224,13051,
20171130,2002,042,City University,436923,287507,
20171130,2006,040,Department of Education,14959318,6306405,
20171130,2015,072,Department of Correction,1162121,1148369,
20171130,2004,054,Civilian Complaint Review Bd.,10076,10054,
20171130,2014,002,Mayoralty,95787,66073,
20171130,2004,037,New York Public Library,89747,89747,
20171130,2006,004,Campaign Finance Board,38692,38692,
20171130,2002,012,"President,Borough of Brooklyn",6090,5941,
20171130,2004,025,Law Department,108603,103228,
20171130,2013,032,Department of Investigation,36371,15237,
20171130,2014,071,Dept. of Homeless Services,1043282,497070,
20171130,2003,011,"President,Borough of the Bronx",5358,5283,
20171130,2002,002,Mayoralty,109673,67815,
20171130,2013,030,Department of City Planning,20928,6934,
20171130,2008,037,New York Public Library,117298,117198,
20171130,2011,013,"President,Borough of Queens",4701,4639,
20171130,2014,039,Queens Borough Public Library,85068,83731,
20171130,2002,008,Office of the Actuary,3149,3149,
20171201,2017,037,New York Public Library,138032,135960,
20171130,2016,056,Police Department,5328651,4799701,
20171130,2010,004,Campaign Finance Board,44320,44320,
20171130,2016,072,Department of Correction,1307633,1293463,
20171130,2014,063,Department of Veterans' Services,0,0,
20171130,2005,002,Mayoralty,75306,56651,
20171130,2014,040,Department of Education,20085287,9546810,
20171130,2007,004,Campaign Finance Board,6576,6576,
20171130,2016,073,Board of Correction,1493,1489,
20171130,2003,072,Department of Correction,866456,822870,
20171130,2009,011,"President,Borough of the Bronx",5566,5192,
20171130,2013,021,Office of Administrative Tax Appeals,4247,4247,
20171130,2012,011,"President,Borough of the Bronx",4868,4825,
20171130,2005,095,Citywide Pension Contributions,3369832,3194122,
20171130,2006,073,Board of Correction,861,861,
20171130,2007,021,Office of Administrative Tax Appeals,2601,2601,
20171130,2012,003,Board of Elections,109839,109376,
20171130,2002,011,"President,Borough of the Bronx",6944,6944,
20171130,2002,071,Dept. of Homeless Services,540359,252190,
20171130,2015,098,Miscellaneous,9644715,8177672,
20171130,2006,021,Office of Administrative Tax Appeals,2366,2366,
20171130,2010,068,Admin. for Children Services,2877430,710425,
20171130,2003,037,New York Public Library,87471,87471,
20171130,2015,032,Department of Investigation,34983,20851,
20171130,2016,004,Campaign Finance Board,7886,7886,
20171130,2012,098,Miscellaneous,6137716,5029320,
20171130,2006,035,NY Public Library - Research,19034,19034,
20171130,2013,010,"President,Borough of Manhattan",4430,4430,
20171130,2008,073,Board of Correction,915,915,
20171130,2016,095,Citywide Pension Contributions,9283217,9138938,
20171130,2003,038,Brooklyn Public Library,64665,64665,
20171130,2011,063,Department of Veterans' Services,0,0,
20171130,2015,054,Civilian Complaint Review Bd.,12684,12684,
20171130,2013,008,Office of the Actuary,5704,5704,
20171130,2004,012,"President,Borough of Brooklyn",4839,4713,
20171130,2016,038,Brooklyn Public Library,102041,99090,
20171201,2017,002,Mayoralty,121263,81252,
20171130,2015,063,Department of Veterans' Services,0,0,
20171130,2013,040,Department of Education,19232415,9080876,
20171201,2017,068,Admin. for Children Services,2974093,808397,
20171130,2011,069,Department of Social Services,8068753,5659488,
20171130,2010,030,Department of City Planning,26231,10704,
20171130,2010,014,"President,Borough of S.I.",3875,3871,
20171130,2003,004,Campaign Finance Board,7245,7245,
20171130,2010,071,Dept. of Homeless Services,941984,373743,
20171130,2009,014,"President,Borough of S.I.",3986,3946,
20171201,2017,057,Fire Department,2037656,1776235,
20171130,2011,098,Miscellaneous,6244642,4959691,
20171130,2003,040,Department of Education,12780991,5103243,
20171130,2002,099,Debt Service,3353187,3314531,
20171130,2010,003,Board of Elections,95706,95446,
20171130,2014,095,Citywide Pension Contributions,8265364,8109074,
20171130,2016,035,NY Public Library - Research,26737,26737,
20171130,2016,042,City University,1018697,703361,
20171130,2003,030,Department of City Planning,19190,7706,
20171130,2005,063,Department of Veterans' Services,0,0,
20171130,2004,017,Dept. of Emergency Management,7579,3481,
20171130,2016,057,Fire Department,1974517,1707700,
20171130,2016,021,Office of Administrative Tax Appeals,4259,4259,
20171130,2010,072,Department of Correction,1011995,975603,
20171130,2014,068,Admin. for Children Services,2785453,861826,
20171130,2007,057,Fire Department,1444538,1271686,
20171130,2010,008,Office of the Actuary,4977,4977,
20171130,2011,094,Department of Employment,0,0,
20171130,2013,011,"President,Borough of the Bronx",4982,4854,
20171130,2015,015,Office of the Comptroller,86477,69988,
20171130,2004,003,Board of Elections,68059,68059,
20171130,2002,098,Miscellaneous,4186973,3894252,
20171130,2011,030,Department of City Planning,23662,7943,
20171130,2009,012,"President,Borough of Brooklyn",5652,5618,
20171130,2009,030,Department of City Planning,26895,10801,
20171130,2011,002,Mayoralty,94884,63616,
20171130,2014,008,Office of the Actuary,5568,5568,
20171130,2005,071,Dept. of Homeless Services,722640,301093,
20171130,2009,015,Office of the Comptroller,67892,58646,
20171130,2008,072,Department of Correction,965659,926553,
20171130,2016,015,Office of the Comptroller,90370,70935,
20171130,2012,012,"President,Borough of Brooklyn",5140,5134,
20171130,2002,014,"President,Borough of S.I.",4788,4742,
20171130,2007,095,Citywide Pension Contributions,4856280,4688680,
20171130,2006,057,Fire Department,1412325,1246047,
20171130,2006,099,Debt Service,4315659,4021030,
20171201,2017,054,Civilian Complaint Review Bd.,15230,15230,
20171130,2008,039,Queens Borough Public Library,85771,85671,
20171130,2010,057,Fire Department,1670022,1431240,
20171130,2011,021,Office of Administrative Tax Appeals,3712,3712,
20171130,2010,015,Office of the Comptroller,67657,55041,
20171130,2010,035,NY Public Library - Research,26642,26642,
20171130,2010,021,Office of Administrative Tax Appeals,3707,3707,
20171130,2003,099,Debt Service,3032606,3007254,
20171130,2005,010,"President,Borough of Manhattan",3889,3889,
20171130,2004,071,Dept. of Homeless Services,673802,264615,
20171130,2006,063,Department of Veterans' Services,0,0,
20171130,2007,042,City University,622693,410674,
20171130,2005,032,Department of Investigation,19753,16116,
20171130,2013,042,City University,838710,589995,
20171130,2006,013,"President,Borough of Queens",4947,4831,
20171130,2002,068,Admin. for Children Services,2375083,652125,
20171130,2011,068,Admin. for Children Services,2760803,695156,
20171130,2002,072,Department of Correction,886754,811611,
20171130,2005,017,Dept. of Emergency Management,9104,3420,
20171130,2006,098,Miscellaneous,6270142,5775998,
20171130,2003,071,Dept. of Homeless Services,632418,285709,
20171201,2017,039,Queens Borough Public Library,105159,103685,
20171130,2005,013,"President,Borough of Queens",4889,4719,
20171130,2014,042,City University,891857,621073,
20171130,2005,098,Miscellaneous,6342446,4899386,
20171130,2004,057,Fire Department,1183700,1061562,
20171130,2011,032,Department of Investigation,21737,15431,
20171130,2006,010,"President,Borough of Manhattan",4318,4318,
20171130,2005,025,Law Department,118911,112207,
20171130,2007,068,Admin. for Children Services,2758676,900507,
20171130,2006,056,Police Department,3794183,3404713,
20171130,2009,025,Law Department,132205,125096,
20171130,2015,038,Brooklyn Public Library,91560,89402,
20171130,2004,013,"President,Borough of Queens",4817,4505,
20171130,2013,099,Debt Service,5761198,5395048,
20171130,2015,013,"President,Borough of Queens",4755,4678,
20171130,2014,038,Brooklyn Public Library,84894,83573,
20171130,2005,042,City University,575585,374457,
20171130,2007,069,Department of Social Services,7425152,5385637,
20171130,2011,012,"President,Borough of Brooklyn",5374,5150,
20171130,2012,057,Fire Department,1757228,1513063,
20171130,2013,054,Civilian Complaint Review Bd.,10608,10408,
20171130,2011,011,"President,Borough of the Bronx",4861,4841,
20171130,2006,039,Queens Borough Public Library,71802,71802,
20171130,2005,037,New York Public Library,94737,94737,
20171130,2006,071,Dept. of Homeless Services,725376,346841,
20171130,2014,025,Law Department,162707,152241,
20171130,2015,025,Law Department,175590,165831,
20171130,2015,008,Office of the Actuary,6247,6247,
20171130,2009,038,Brooklyn Public Library,90556,90495,
20171130,2007,011,"President,Borough of the Bronx",6359,6180,
20171130,2004,021,Office of Administrative Tax Appeals,1956,1956,
20171130,2005,039,Queens Borough Public Library,66834,66834,
20171130,2014,011,"President,Borough of the Bronx",4901,4796,
20171130,2012,069,Department of Social Services,9391227,7154813,
20171130,2004,040,Department of Education,13148112,5464382,
20171130,2005,073,Board of Correction,856,830,
20171130,2013,038,Brooklyn Public Library,84698,82707,
20171130,2014,013,"President,Borough of Queens",4985,4931,
20171130,2007,098,Miscellaneous,7054203,6517244,
20171130,2012,035,NY Public Library - Research,22004,22004,
20171130,2002,004,Campaign Finance Board,48500,48478,
20171130,2009,035,NY Public Library - Research,24974,24974,
20171130,2010,032,Department of Investigation,22720,16734,
20171130,2007,054,Civilian Complaint Review Bd.,10717,10717,
20171130,2007,073,Board of Correction,905,886,
20171130,2005,056,Police Department,3904880,3463754,
20171130,2013,068,Admin. for Children Services,2805021,822186,
20171130,2005,099,Debt Service,4025207,3946782,
20171130,2002,054,Civilian Complaint Review Bd.,9329,9324,
20171130,2006,008,Office of the Actuary,4944,4944,
20171130,2010,094,Department of Employment,0,0,
20171130,2008,063,Department of Veterans' Services,0,0,
20171130,2016,002,Mayoralty,109533,70820,
20171130,2016,040,Department of Education,22421560,10607314,
20171130,2007,003,Board of Elections,71748,71748,
20171130,2016,011,"President,Borough of the Bronx",5064,5047,
20171130,2009,010,"President,Borough of Manhattan",4996,4979,
20171130,2006,032,Department of Investigation,21131,16723,
20171130,2002,039,Queens Borough Public Library,68140,68140,
20171130,2016,094,Department of Employment,0,0,
20171130,2016,003,Board of Elections,116672,116586,
20171130,2002,037,New York Public Library,96805,96805,
20171130,2005,072,Department of Correction,819961,778478,
20171130,2009,002,Mayoralty,90933,66374,
20171130,2008,010,"President,Borough of Manhattan",5822,5110,
20171130,2009,042,City University,707115,481431,
20171130,2010,063,Department of Veterans' Services,0,0,
20171130,2012,095,Citywide Pension Contributions,7954705,7797915,
20171130,2007,039,Queens Borough Public Library,76770,76770,
20171130,2002,032,Department of Investigation,23138,20792,
20171130,2006,015,Office of the Comptroller,61335,53673,
20171130,2004,038,Brooklyn Public Library,66781,66781,
20171130,2016,017,Dept. of Emergency Management,35671,3352,
20171130,2011,057,Fire Department,1733601,1487887,
20171130,2007,012,"President,Borough of Brooklyn",6072,6049,
20171130,2004,032,Department of Investigation,19589,16245,
20171130,2010,040,Department of Education,18498505,7140162,
20171130,2010,002,Mayoralty,95503,67427,
20171130,2003,025,Law Department,101995,96008,
20171130,2015,002,Mayoralty,101722,69635,
20171130,2008,013,"President,Borough of Queens",6660,6620,
20171130,2009,039,Queens Borough Public Library,89176,88576,
20171130,2014,012,"President,Borough of Brooklyn",5089,4916,
20171130,2005,008,Office of the Actuary,4116,4116,
20171130,2011,038,Brooklyn Public Library,82451,81956,
20171130,2015,039,Queens Borough Public Library,90327,89179,
20171130,2012,040,Department of Education,19283256,9075717,
20171130,2007,008,Office of the Actuary,4539,4539,
20171130,2002,003,Board of Elections,67482,67482,
20171130,2011,035,NY Public Library - Research,22023,22023,
20171130,2007,072,Department of Correction,949760,913457,
20171201,2017,098,Miscellaneous,8769411,6924022,
20171130,2014,069,Department of Social Services,9531094,7482195,
20171130,2006,094,Department of Employment,0,0,
20171130,2014,056,Police Department,4912272,4372951,
20171130,2012,032,Department of Investigation,21288,14522,
20171130,2008,025,Law Department,125308,118905,
20171130,2004,098,Miscellaneous,4578809,4064405,
20171130,2008,094,Department of Employment,0,0,
20171130,2012,030,Department of City Planning,22832,8233,
20171201,2017,017,Dept. of Emergency Management,47395,25503,
20171130,2014,004,Campaign Finance Board,53531,53476,
20171130,2014,015,Office of the Comptroller,80738,64282,
20171130,2004,015,Office of the Comptroller,55546,50200,
20171130,2007,014,"President,Borough of S.I.",4267,4267,
20171130,2015,094,Department of Employment,0,0,
20171130,2015,003,Board of Elections,106755,106508,
20171130,2015,035,NY Public Library - Research,24266,24266,
20171130,2011,071,Dept. of Homeless Services,1019183,417276,
20171130,2002,015,Office of the Comptroller,57602,54474,
20171130,2012,094,Department of Employment,0,0,
20171130,2007,010,"President,Borough of Manhattan",4694,4462,
20171130,2012,054,Civilian Complaint Review Bd.,8739,8739,
20171130,2013,072,Department of Correction,1090909,1064109,
20171130,2005,004,Campaign Finance Board,5357,5357,
20171130,2003,054,Civilian Complaint Review Bd.,8875,8874,
20171130,2013,013,"President,Borough of Queens",4602,4533,
20171130,2008,008,Office of the Actuary,5060,5060,
20171130,2013,039,Queens Borough Public Library,84188,81871,
20171130,2010,098,Miscellaneous,6237230,4964091,
20171130,2011,099,Debt Service,4939842,4763130,
20171130,2012,038,Brooklyn Public Library,85031,83698,
20171130,2009,099,Debt Service,4691385,4615198,
20171130,2009,068,Admin. for Children Services,2844230,817647,
20171201,2017,056,Police Department,5583994,5016088,
20171130,2009,017,Dept. of Emergency Management,19993,10905,
20171130,2015,095,Citywide Pension Contributions,8616325,8457833,
20171130,2013,014,"President,Borough of S.I.",3905,3905,
20171130,2007,017,Dept. of Emergency Management,14896,6244,
20171130,2003,002,Mayoralty,94449,50729,
20171130,2010,011,"President,Borough of the Bronx",4894,4849,
20171201,2017,021,Office of Administrative Tax Appeals,4619,4619,
20171130,2006,069,Department of Social Services,6935913,4839573,
20171130,2012,068,Admin. for Children Services,2854526,847576,
20171130,2003,069,Department of Social Services,6159736,3960255,
20171130,2002,095,Citywide Pension Contributions,1491901,1334377,
20171130,2002,025,Law Department,96258,89579,
20171130,2002,010,"President,Borough of Manhattan",5027,5023,
20171130,2015,056,Police Department,5151559,4618153,
20171130,2005,015,Office of the Comptroller,56616,50290,
20171130,2004,072,Department of Correction,833348,791570,
20171130,2013,035,NY Public Library - Research,22278,22278,
20171130,2011,095,Citywide Pension Contributions,6999833,6834496,
20171130,2012,042,City University,791320,561417,
20171130,2006,054,Civilian Complaint Review Bd.,10142,10073,
20171130,2014,098,Miscellaneous,10522242,9085208,
20171130,2010,073,Board of Correction,921,921,
20171130,2014,094,Department of Employment,0,0,
20171130,2009,037,New York Public Library,121990,121222,
20171201,2017,063,Department of Veterans' Services,2468,2146,
20171130,2011,008,Office of the Actuary,4997,4997,
20171130,2006,003,Board of Elections,63297,63297,
20171130,2007,038,Brooklyn Public Library,78775,78775,
20171130,2016,069,Department of Social Services,9397990,7367844,
20171130,2015,014,"President,Borough of S.I.",3777,3777,
20171130,2014,032,Department of Investigation,29030,17350,
20171130,2014,017,Dept. of Emergency Management,34552,7464,
20171130,2011,039,Queens Borough Public Library,81264,80988,
20171130,2008,035,NY Public Library - Research,24326,24326,
20171130,2008,012,"President,Borough of Brooklyn",8088,7981,
20171130,2010,010,"President,Borough of Manhattan",4699,4350,
20171201,2017,015,Office of the Comptroller,93617,71282,
